"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454256","7.11.12.1.3.1.4.2","59500","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454257","7.11.12.1.3.1.4.3","77200","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454274","7.11.12.2.1.1.4.2","56500","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454275","7.11.12.2.1.1.4.3","76000","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454292","7.11.12.2.2.1.4.2","56000","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454293","7.11.12.2.2.1.4.3","75300","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454310","7.11.12.2.3.1.4.2","64400","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Male gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454311","7.11.12.2.3.1.4.3","81600","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Female gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454328","7.11.12.3.1.1.4.2","46000","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Female gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454329","7.11.12.3.1.1.4.3","59000","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Female gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454346","7.11.12.3.2.1.4.2","46000","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Female gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454347","7.11.12.3.2.1.4.3","59000","","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Female gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083454364","7.11.12.3.3.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Undergraduate degree","Computer and information sciences [a.32]","Female gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083454365","7.11.12.3.3.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Total, gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083472688","7.14.12.1.1.1.4.2","60300","","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Total, gender","15 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083472689","7.14.12.1.1.1.4.3","73800","","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Total, gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083472706","7.14.12.1.2.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Total, gender","15 to 34 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083472707","7.14.12.1.2.1.4.3","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2017 constant dollars","387","units","0","v1083472724","7.14.12.1.3.1.4.2","","x","","","0"
"2010","Ontario","2016A000235","Post-baccalaureate non-graduate diploma","Computer and information sciences [a.32]","Total, gender","35 to 64 years","Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2017 constant dollars","387","units","0","v1083472725","7.14.12.1.3.1.4.3","","x","","","0"
